character_name,role,character_id
Stan Marsh,"Stanley ""Stan"" Marsh 
is voiced by and loosely based on series co-creator Trey Parker. He first appeared in The Spirit of Christmas and is portrayed (in words of the show's official website) as ""a normal, average, American, mixed-up kid."" Stan is a third- then fourth-grade student who commonly has extraordinary experiences not typical of conventional small-town life in his hometown of South Park.",Stan
Kyle Broflovski,"Kyle Broflovski is voiced by and loosely based on series co-creator Matt Stone. Having appeared first in The Spirit of Christmas shorts, he often displays the highest moral standard of all the boys and is usually depicted as the most intelligent.",Kyle
Eric Cartman,"Eric Theodore Cartman first appeared in the 1992 short series The Spirit of Christmas and is voiced by Trey Parker. Cartman has been portrayed as the main antagonist of the show due to his short-tempered, aggressive, prejudiced and emotionally unstable character.",Eric
Kenny McCormick,"Kenneth ""Kenny"" McCormick debuted in the 1992 shorts. His soft-muffled and indiscernible speech—the result of his parka hood covering his mouth—is voiced by co-creator Matt Stone.",Kenny
"Leopold ""Butters"" Stotch","Leopold ""Butters"" Stotch is a major supporting character and a student of South Park Elementary. He is voiced by series co-creator Matt Stone.",Butters
Randy Marsh,Randy S. Marsh is the most prominent parent on the show.,Randy
Gerald Broflovski,"Gerald and Sheila Broflovski are an upper-middle-class, Jewish married couple who raise their ten-year-old son Kyle and three-year-old Canadian son Ike. Gerald is a lawyer who also serves on South Park's council as the city attorney, and his role in this profession has been put on display in episodes such as ""Sexual Harassment Panda"" and ""Chef Goes Nanners"" in which a trial or legal issue plays a large part in the plot.",Gerald
Liane Cartman,"Liane Cartman is the generally sweet-natured mother of Eric Cartman; though in later seasons, she is a more proactive mother who does not tolerate his antics or foul language. Her promiscuity, often with total strangers, was a running gag initially.",Liane
Herbert Garrison,"Mr. Garrison was the boys' fourth grade teacher at South Park Elementary until his dismissal, after which he mounted a campaign that resulted in his election as President of the United States. Garrison is particularly cynical, especially in comparison with the rest of South Park's adults, and he is one of the few characters to ever break the fourth wall on the show.",Herbert
Mr. Mackey,"Mr. Mackey is the school guidance counselor. He has a disproportionately large head and mumbles ""m'kay"" after most sentences.",Mr. Mackey
Jimmy Valmer,"James ""Jimmy"" Valmer is one of the boys' two handicapped classmates, alongside Timmy Burch. He is physically disabled, requiring forearm crutches in order to walk.",Jimmy
Tolkien Black,"Tolkien Black, voiced by Trey Parker and later Adrien Beard, first appeared in ""Cartman Gets an Anal Probe"". He is the only black child in South Park until the introduction of Nichole Daniels in ""Cartman Finds Love"" in season 16.",Tolkien
Wendy Testaburger,"Wendy Testaburger is the show's most prominent female student. Her best friend is Bebe Stevens, she is the on-and-off girlfriend of Stan.",Wendy
Clyde Donovan,"Clyde Donovan, voiced by Trey Parker, maintains a friendship with the show's main characters and is among the most often-seen of the boys' extended group, playing supporting roles in several episodes. Clyde first appeared in the show's pilot episode ""Cartman Gets an Anal Probe"".",Clyde
