character_name,role
Stan Marsh,"Stanley ""Stan"" Marsh 
is voiced by and loosely based on series co-creator Trey Parker.[4][22] He first appeared in The Spirit of Christmas and is portrayed (in words of the show's official website) as ""a normal, average, American, mixed-up kid.""[23] Stan is a third- then fourth-grade student who commonly has extraordinary experiences not typical of conventional small-town life in his hometown of South Park. Stan is also commonly portrayed as the main protagonist of the series. He acts as the de facto leader of his friend group, often encouraging them in difficult times and taking charge in social causes. Much like his best friend Kyle, Stan often learns a valuable lesson by the end of episodes. Stan has black hair, light skin, blue eyes (though color not visible due to how the series is animated), and is of average nine-year-old height. He usually wears a navy-blue beanie cap with a red trimming and a red pom-pom ball on the top of it, matching red gloves, a light-brown jacket with a matching red collar, blue jeans, and black shoes. Stan has his father's hair color (black) and his mother's skin tone."
Kyle Broflovski,"Kyle Broflovski is voiced by and loosely based on series co-creator Matt Stone.[7] Having appeared first in The Spirit of Christmas shorts, he often displays the highest moral standard of all the boys and is usually depicted as the most intelligent.[24] When describing Kyle, Stone states that both he and the character are ""reactionary"", and susceptible to irritability and impatience.[25] In some instances, Kyle is the only child in his class to not initially indulge in a fad or fall victim to a ploy. This has resulted in both his eagerness to fit in, and his resentment and frustration.[24][26] Kyle is distinctive as one of the few Jewish children on the show, and because of this, he often feels like an outsider amongst the core group of characters.[25][27] His portrayal in this role is often dealt with satirically, and has elicited both praise and criticism from Jewish viewers.[6][28][29][30]
In many episodes, Kyle contemplates ethics in beliefs, moral dilemmas, and contentious issues, and will often reflect on the lessons he has attained with a speech that often begins with, ""You know, I learned something today...""[31] Kyle has curly red hair, a light skin tone, (no visible eye color due to how the series is animated), and is of average nine-year-old height. He wears a bright-green ushanka hat (ear-flap hat), matching green gloves, an orange coat with a matching green collar, army green cargo pants, and black shoes."
Eric Cartman,"Eric Theodore Cartman first appeared in the 1992 short series The Spirit of Christmas and is voiced by Trey Parker.[7] Cartman has been portrayed as the main antagonist of the show due to his short-tempered, aggressive, prejudiced and emotionally unstable character. These traits are significantly augmented in later seasons as his character evolves, and he begins to exhibit psychopathic and extremely manipulative behavior. Cartman is depicted as highly intelligent, able to execute morally appalling plans and business ideas with success. His intelligence goes further, as Cartman is shown to be a multi-linguist, able to speak many different foreign languages fluently. Among the show's main child characters, Cartman is distinguished as ""the fat kid"",[2] for which he is continuously insulted and ridiculed.[32] Cartman is frequently portrayed as a villain whose actions set in motion the events serving as the main plot of an episode.[5] Other children and classmates are alienated by his insensitive, racist, homophobic, antisemitic, misogynistic, lazy, self-righteous, and wildly insecure behavior.[33][34][35][36][37] Cartman is also the most prejudiced character on the show. He often makes antisemitic insults towards Kyle for being Jewish,[2][38] constantly teases Kenny for being poor,[39]  particularly manipulates and mistreats Butters Stotch and displays an extreme disdain for hippies.[40][41] As a result, Cartman usually gets the consequences for his actions due to a flaw in schemes or other characters proving to be smarter than him. Despite his antagonistic tendencies, Cartman has been portrayed as a protagonist or antihero on several occasions. He has short straight neatly-parted brown hair, pale skin, (no visible eye color due to how the series is animated), and extremely-fat body with neck flab and a double chin. Cartman wears a small teal hat with a small flat yellow puff-ball on top and a matching yellow band where the forehead part of the hat begins, a large bright-red coat, matching yellow gloves, brown khaki pants, and black shoes."
Kenny McCormick,"Kenneth ""Kenny"" McCormick debuted in the 1992 shorts. His soft-muffled and indiscernible speech—the result of his parka hood covering his mouth—is voiced by co-creator Matt Stone.[7] He is friends with Stan and Kyle, while maintaining a friendship with Eric Cartman.[42] Kenny is regularly teased for living in poverty, particularly by Cartman.[39] Prior to Season Six, Kenny died in almost every episode, with only a few exceptions.[note 1] The nature of the deaths was often gruesome and portrayed in a comically absurd fashion,[43] and usually followed by Stan and Kyle respectively yelling ""Oh my God! They killed Kenny!"" and ""You bastard(s)!"".[44] In the episode ""Kenny Dies"", Kenny dies after developing a terminal muscular disease,[45] while Parker and Stone claimed that Kenny would not be returning in subsequent episodes and insisted they grew tired of having Kenny die in each episode.[46] For most of season six, his place is taken by Butters Stotch and Tweek Tweak.[47][48] Nevertheless, Kenny returned from the year-long absence in the season six finale ""Red Sleigh Down"", and has remained a starring character since, although he only appears once in Season 20. Kenny's character no longer dies in each episode, and has only been killed occasionally in episodes following his return.[49] Kenny's superhero alter ego, Mysterion, first appeared in the season 13 episode ""The Coon"".[50][51] It is revealed in the season 14 three-part story arc ""Coon 2: Hindsight"", ""Mysterion Rises"" and ""Coon vs. Coon and Friends"" that Kenny canonically has an ability to resurrect after dying, though he is always the only one who can ever remember dying, despite his friends always bearing witness. It is revealed that each time he dies, Kenny's mom spontaneously gives birth to him, and then is put back in his orange parka and in bed, to regenerate overnight. This was due to his parents' involvement in the cult of Cthulhu, whose meetings they would only attend because of the free alcohol. Kenny has bright-blond hair, a light skin color, (no visible eye color due to how the series is animated), and an average eight-year-old height. He wears a large orange parka whose large hood conceals his blond head completely with a faded-brown inside, matching faded-brown gloves, orange pants that match his parka, and black shoes. Kenny has a brother named Kevin, and a younger sister named Karen with whom he has a good relationship."
"Leopold ""Butters"" Stotch","Leopold ""Butters"" Stotch is a major supporting character and a student of South Park Elementary. He is voiced by series co-creator Matt Stone. Butters is depicted as more naive, optimistic, and gullible than the show's other child characters and can become increasingly anxious, especially when faced with the likelihood of being grounded, of which he is extremely terrified. As a result, he is often sheltered and unknowledgeable of some of the suggestive content his peers understand, and is also frequently the victim of abuse and manipulation by Eric Cartman. Butters debuted as an unnamed background character when South Park first premiered on Comedy Central on August 13, 1997. His role gradually increased, becoming one of the series's most frequently present characters beginning with season 3 and eventually the de facto fifth main character. Creators Trey Parker and Matt Stone have stated that he is one of their favorite characters."
Randy Marsh,"Randy S. Marsh is the most prominent parent on the show. He is a middle-class married father who alongside his wife Sharon raises their 10-year-old son Stan and 13-year-old daughter Shelley. His first name is derived from the first name of series co-creator Trey Parker's father,[52] and Parker describes Randy as ""the biggest dingbat in the entire show""[53] who evolves to be one of the most heavily featured characters in the series."
Gerald and Sheila Broflovski,"Gerald and Sheila Broflovski are an upper-middle-class, Jewish married couple who raise their ten-year-old son Kyle and three-year-old Canadian son Ike. Gerald is a lawyer who also serves on South Park's council as the city attorney,[54] and his role in this profession has been put on display in episodes such as ""Sexual Harassment Panda"" and ""Chef Goes Nanners"" in which a trial or legal issue plays a large part in the plot.[55][56][57] He is a generally kind, amiable person, though at intervals he has been shown to assume a snobbish attitude that disaffects his friends and family. Examples include the episode ""Chicken Pox"" where it is revealed that he used to be close with Stuart McCormick when they were younger but that the two had a falling out due to economic differences or when he begins acting like an arrogant snob after buying a hybrid car in ""Smug Alert!"". In ""Sexual Harassment Panda"", Gerald repeatedly sued South Park Elementary (which was faultless in every case), and later every citizen of South Park, showing his shameless monetary greed and disregard for civil propriety. Gerald was once seen to have a repressed gambling problem,[58] and prior struggles with a fictional form of inhalant abuse known within the show as ""cheesing"".[55] Gerald is, in season 20 of the show, revealed to be an internet troll. His internet alias is 'Skankhunt42', and initially, everyone thinks that Eric Cartman is, in fact, Skankhunt42. When trolling, he makes provocative statements against women, and, most notably, creates images where he ""puts a dick in [women's] mouths."" He always drinks red wine and listens to music by Boston when trolling. His antics eventually place him in the news after trolling a Danish Olympian making him of the two main antagonists of the entirety of season twenty alongside Lennart Bedrager."
Liane Cartman,"Liane Cartman is the generally sweet-natured mother of Eric Cartman; though in later seasons, she is a more proactive mother who does not tolerate his antics or foul language. Her promiscuity, often with total strangers, was a running gag initially. It seemed as though all of the adults in South Park had slept with her (probably the women, too). Although in episode 7, she is indicated to be a ""crack whore"", she says in ""The Poor Kid"" that she has not done drugs in some time, and works ""two jobs.""  Liane's commuting from the home during normal daytime hours implies that at least one of the jobs is a traditional, non-prostitution form of employment, though the nature of this work is never specified.  Despite the multiple sources of income, Eric comes to believe that he and Liane are the second poorest family in South Park (at least of those whose children attend South Park Elementary) after Kenny McCormick's.[60] At other times, it is implied that the Cartman household's IRS-reported income mostly comes from government welfare programs,[61] that Liane has simply transformed her prostitution career into a better-organized, safer ""escort""-style operation,[62] or that in fact Liane has never held a traditional job and the family is in a more precarious economic state than their depicted lifestyle indicates.[63]  As of season 25, current continuity states that Liane has been unable to maintain legitimate employment due to constant demands on her time from Eric, and as a result of this economic stress combined with increases in rent on the family's house, the Cartmans are unable to keep up with their bills and find themselves living in an abandoned hot dog stand.  Eric refuses to allow Liane to work, instead of attend to him, when he is awake even when explicitly told that this will cause financial disaster for the family, a storyline which may tie in to depictions of Cartman as homeless in the future."
Herbert Garrison,"Mr. Garrison was the boys' fourth grade teacher at South Park Elementary until his dismissal, after which he mounted a campaign that resulted in his election as President of the United States. Garrison is particularly cynical, especially in comparison with the rest of South Park's adults, and he is one of the few characters to ever break the fourth wall on the show."
Mr. Mackey,"Mr. Mackey is the school guidance counselor. He has a disproportionately large head and mumbles ""m'kay"" after most sentences.  He speaks with a Southern accent, and he is believed to be from Louisiana. It is assumed he is at least 40 years old (he once said he had sex at 19 and that it has been about 21 years since). He is based on Trey Parker's junior high school counselor, Stan Lackey. He has occasionally taught classes at the school, and taught sex education with Ms. Choksondik. During this time he had a sexual relationship with Ms. Choksondik until her death. After her death, he took over the fourth grade class until Mr. Garrison returned."
